"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths","Garage Spaces","Pool YN","Tax Annual Amount"
"1","25041568","S","107","CCT","18 William              Street Unit#A","Closter","$1,500,000","06/30/2026","$1,499,000","TWNHS","2,700","","3","3","1","1","No","$0"
"1","26008972","S","26","CCT","3 Woodmont Circle","River Vale","$1,499,000","06/11/2026","$1,549,000","TWNHS","2,982","","3","4","1","","No","$0"
"1","26002555","S","9","CCT","279 Myrtle Avenue","Fort Lee","$1,450,000","06/04/2026","$1,450,000","TWNHS","","","4","3","2","2","No","$22,726"
"1","26008955","S","32","CCT","8 Royal Birkdale Lane","River Vale","$1,424,000","06/18/2026","$1,424,000","TWNHS","2,632","","3","3","1","2","No","$0"
"1","26005752","S","10","CCT","122 Brewster Road","Wyckoff","$1,400,000","06/10/2026","$1,199,900","TWNHS","3,428","","3","3","1","","Yes","$16,667"
"1","26007128","S","4","CCT","106 Brandon Court","Montvale","$1,370,000","06/18/2026","$1,324,900","TWNHS","3,468","","4","3","1","2","Yes","$24,382"
"1","26013084","S","37","CCT","49 Lincoln Avenue","Cliffside Park","$1,360,000","06/10/2026","$1,389,888","Condo","3,300","","4","3","2","2","No","$17,500"
"1","26012823","S","13","CCT","21 Muirfield            Lane","River Vale","$1,334,000","06/15/2026","$1,334,000","TWNHS","2,632","","3","3","1","2","No","$0"
"1","26008859","S","32","CCT","412 Lincoln Avenue","Cliffside Park","$1,325,000","06/11/2026","$1,350,000","TWNHS","3,150","","3","3","2","1","No","$23,460"
"1","25014858","S","322","CCT","264 11th Street Unit#Unit A","Palisades Park","$1,300,000","06/01/2026","$1,340,000","Condo","","","4","3","1","","No","$0"
"1","26010873","S","67","CCT","23 Muirfield            Lane","River Vale","$1,296,000","06/23/2026","$1,299,000","TWNHS","2,632","","3","3","1","2","No","$0"
"1","26010330","S","13","CCT","7 Saint Andrews        Circle","River Vale","$1,275,000","06/25/2026","$1,295,000","TWNHS","2,632","","3","3","1","2","No","$26,931"
"1","26000941","S","31","CCT","188 Broadway Unit#7","Woodcliff Lake","$1,270,000","06/24/2026","$1,299,000","TWNHS","3,500","","3","2","2","2","No","$0"
"1","26016382","S","7","CCT","33 Windsor Lane","Ramsey","$1,250,000","06/25/2026","$1,250,000","TWNHS","2,587","","3","3","1","2","Yes","$22,426"
"1","26006299","S","14","CCT","200 Old Palisade         Road Unit#16E","Fort Lee","$1,250,000","06/16/2026","$1,150,000","Condo","2,302","","2","2","1","2","Yes","$18,098"
"1","26015949","S","1","CCT","55 Victoria Place","Fort Lee","$1,208,000","06/10/2026","$1,299,000","TWNHS","2,410","","4","3","1","2","Yes","$20,334"
"1","26002612","S","4","CCT","24 Gabriel              Court Unit#24","Paramus","$1,200,000","06/18/2026","$1,180,000","TWNHS","","","3","2","2","1","No","$0"
"1","26014673","S","8","CCT","113 Macleish Court","Mahwah","$1,188,750","06/24/2026","$939,000","TWNHS","2,320","","3","3","0","1","Yes","$10,722"
"1","26023728","S","143","CCT","156 Ashley Place","Park Ridge","$1,150,000","06/15/2026","$1,150,000","TWNHS","3,424","","3","4","1","2","Yes","$24,231"
"1","26011774","S","15","CCT","535 7th                  Unit#B","Palisades Park","$1,150,000","06/30/2026","$1,250,000","Condo","3,850","","3","3","1","2","No","$14,338"
"1","25042870","S","4","CCT","16 Gabriel              Court Unit#20","Paramus","$1,150,000","06/24/2026","$1,175,000","TWNHS","","","3","2","2","1","No","$0"
"1","26020751","S","4","CCT","98 W Main                 Street","Ramsey","$1,120,000","06/17/2026","$1,120,000","TWNHS","2,900","","3","2","2","1","No","$0"
"1","26017952","S","5","CCT","799 End Avenue","Cliffside Park","$1,100,000","06/26/2026","$999,000","TWNHS","3,240","","3","3","1","1","No","$16,480"
"1","26008562","S","5","CCT","89 Fisher Road","Mahwah","$1,100,000","06/29/2026","$899,999","TWNHS","2,112","","3","2","1","1","Yes","$10,932"
"1","26009102","S","40","CCT","7 Fey Place","Oradell","$1,055,000","06/29/2026","$1,099,000","TWNHS","3,020","","3","2","2","1","No","$0"
"1","26004214","S","39","CCT","1496 15th Street","Fort Lee","$1,047,000","06/05/2026","$1,099,500","TWNHS","2,376","","3","3","1","1","No","$13,212"
"1","26014849","S","31","CCT","1435 14th Street","Fort Lee","$1,040,000","06/29/2026","$1,100,000","TWNHS","1,892","","3","3","1","1","No","$13,557"
"1","26010382","S","20","CCT","281 Grant Avenue","Cliffside Park","$1,040,000","06/18/2026","$1,065,000","TWNHS","","","4","3","1","","No","$18,000"
"1","26014663","S","14","CCT","231B E Harriet              Avenue Unit#231B","Palisades Park","$1,028,888","06/12/2026","$989,000","TWNHS","2,144","","4","3","1","2","No","$11,256"
"1","26009437","S","58","CCT","223 Grant Avenue","Cliffside Park","$1,020,000","06/16/2026","$999,000","TWNHS","","","3","3","1","1","No","$14,466"
"1","26022781","S","71","CCT","409 Four Seasons Lane","Montvale","$965,000","06/16/2026","$949,000","Condo","1,957","","2","2","0","2","Yes","$13,702"
"1","26006489","S","12","CCT","311 Huntington Court","Wyckoff","$952,800","06/04/2026","$849,000","TWNHS","2,114","","3","3","0","1","No","$11,656"
"1","26007124","S","56","CCT","62 Roosevelt Drive","Wood Ridge","$945,000","06/12/2026","$945,000","TWNHS","2,258","","4","3","1","","No","$13,973"
"1","26002761","S","40","CCT","165 Roosevelt Drive","Wood Ridge","$945,000","06/01/2026","$945,000","TWNHS","2,258","","4","3","1","2","No","$16,000"
"1","25040025","S","139","CCT","555 Edgewater            Avenue Unit#103 Reserve Ct.","Ridgefield","$935,000","06/30/2026","$949,000","TWNHS","1,715","","2","3","1","2","No","$12,049"
"1","26000977","S","82","CCT","245 Knox Avenue","Cliffside Park","$930,000","06/03/2026","$949,500","TWNHS","1,800","","3","3","1","","No","$1,150"
"1","26016307","S","10","CCT","415 Lawton Avenue Unit#A","Cliffside Park","$905,000","06/29/2026","$895,000","TWNHS","1,692","","3","3","1","","No","$11,485"
"1","26022750","S","99","CCT","1530 Palisade             Unit#4F","Fort Lee","$901,000","06/16/2026","$875,000","Co-op","","","3","3","1","","Yes",""
"1","26005215","S","6","CCT","129 Truman Drive","Wood Ridge","$901,000","06/18/2026","$859,700","TWNHS","1,935","","4","3","1","2","No","$16,391"
"1","26010933","S","5","CCT","802 Whitney Lane","Allendale","$900,000","06/25/2026","$825,000","Condo","1,775","","2","2","0","1","Yes","$14,602"
"1","26008338","S","35","CCT","19 Sherbrooke Court Unit#27","Saddle River","$900,000","06/15/2026","$929,500","TWNHS","1,916","","3","2","1","2","No","$6,216"
"1","26019940","S","7","CCT","200 Old Palisade Road Unit#3E","Fort Lee","$890,000","06/05/2026","$799,000","Condo","2,302","","2","2","1","2","Yes","$17,550"
"1","26000759","S","20","CCT","200 Winston              Unit#1008","Cliffside Park","$851,000","06/15/2026","$799,000","Condo","1,805","","3","3","0","","Yes","$14,688"
"1","26010867","S","31","CCT","69 Truman Drive","Wood Ridge","$850,000","06/18/2026","$859,000","TWNHS","1,935","","3","2","1","","No","$16,293"
"1","26010168","S","46","CCT","454 Myrtle Avenue Unit#454","Fort Lee","$850,000","06/24/2026","$849,999","TWNHS","","","3","3","1","","No","$11,205"
"1","26008470","S","8","CCT","37 Niagara Drive Unit#37","Mahwah","$850,000","06/29/2026","$760,000","TWNHS","1,960","","2","2","1","1","Yes","$10,635"
"1","26011132","S","16","CCT","1512 Palisade Avenue Unit#19A","Fort Lee","$840,000","06/03/2026","$825,000","Condo","1,481","","2","2","0","","Yes","$12,467"
"1","26010030","S","27","CCT","2478 6th Street Unit##B","Fort Lee","$840,000","06/01/2026","$829,000","TWNHS","","","3","3","1","1","No","$12,129"
"1","26010536","S","36","CCT","800 Palisade Avenue Unit#1903","Fort Lee","$838,888","06/25/2026","$868,888","Condo","2,064","","2","2","1","1","Yes","$15,689"
"1","26011972","S","10","CCT","42 Bellgrove Drive","Mahwah","$835,000","06/04/2026","$819,000","TWNHS","1,875","","2","3","0","1","Yes","$9,660"
"1","25022184","S","6","CCT","19 Indian Field Court","Mahwah","$830,000","06/08/2026","$795,000","TWNHS","2,224","","2","2","2","1","Yes","$10,147"
"1","26010573","S","10","CCT","175 Winchester Court","Township of Washington","$810,000","06/05/2026","$789,000","TWNHS","","","3","2","1","1","Yes","$12,154"
"1","26005683","S","14","CCT","80 W Prospect Street","Waldwick","$805,000","06/22/2026","$750,000","TWNHS","2,500","","4","2","1","","No","$13,437"
"1","26023989","S","70","CCT","314 Franklin Court Unit#L314","Edgewater","$780,000","06/24/2026","$788,000","TWNHS","1,769","","2","2","1","1","Yes","$10,990"
"1","26009164","S","20","CCT","1512 Palisade Avenue Unit#17A","Fort Lee","$780,000","06/29/2026","$789,000","Condo","1,481","","2","2","0","","Yes","$11,745"
